zip_path,is_dir,size_bytes,compressed_bytes,ext,top,lvl2
conformance/fixtures_v1/fixtures/FIX_DERIVED_001_PRIMITIVE_USE_REJECT.txt,False,638,252,.txt,conformance,conformance/fixtures_v1
conformance/fixtures_v1/fixtures/FIX_EVID_001_PASS_EXISTING_PENDING_TOKEN.txt,False,328,146,.txt,conformance,conformance/fixtures_v1
conformance/fixtures_v1/fixtures/FIX_EVID_002_REJECT_UNKNOWN_TARGET.txt,False,328,142,.txt,conformance,conformance/fixtures_v1
conformance/fixtures_v1/fixtures/FIX_FORMULA_001_GLYPH_REJECT.txt,False,754,263,.txt,conformance,conformance/fixtures_v1
conformance/fixtures_v1/fixtures/FIX_LEX_001_UNDEFINED_COMPONENT_PARK.txt,False,457,220,.txt,conformance,conformance/fixtures_v1
conformance/fixtures_v1/fixtures/FIX_MSG_001_PASS_COMMAND_REPORT_STATE.txt,False,21,23,.txt,conformance,conformance/fixtures_v1
conformance/fixtures_v1/fixtures/FIX_MSG_002_REJECT_PROSE_PLUS_COMMAND.txt,False,27,29,.txt,conformance,conformance/fixtures_v1
conformance/fixtures_v1/fixtures/FIX_NEAR_001_PARK_NEAR_DUPLICATE.txt,False,979,277,.txt,conformance,conformance/fixtures_v1
conformance/fixtures_v1/fixtures/FIX_PROBE_001_PRESSURE_PARK.txt,False,4406,551,.txt,conformance,conformance/fixtures_v1
conformance/fixtures_v1/fixtures/FIX_SCHEMA_001_BAD_EXPORT_HEADER_REJECT.txt,False,181,118,.txt,conformance,conformance/fixtures_v1
conformance/fixtures_v1/fixtures/FIX_UNDEF_001_TERM_REJECT.txt,False,652,266,.txt,conformance,conformance/fixtures_v1
conformance/fixtures_v1/manifest.json,False,298,220,.json,conformance,conformance/fixtures_v1
conformance/fixtures_v1/observed_results.template.json,False,196,137,.json,conformance,conformance/fixtures_v1
public_facing_docs,True,0,0,,public_facing_docs,public_facing_docs
public_facing_docs/00_PUBLIC_FACING_SYSTEM_INTENT_AND_CONSTRAINTS_ON_INTERPRETATION_v1.md,False,2905,1491,.md,public_facing_docs,public_facing_docs/00_PUBLIC_FACING_SYSTEM_INTENT_AND_CONSTRAINTS_ON_INTERPRETATION_v1.md
public_facing_docs/01_PUBLIC_FACING_LAYERED_ARCHITECTURE_AND_ENTROPY_BOUNDARY_v1.md,False,3302,1605,.md,public_facing_docs,public_facing_docs/01_PUBLIC_FACING_LAYERED_ARCHITECTURE_AND_ENTROPY_BOUNDARY_v1.md
public_facing_docs/02_PUBLIC_FACING_FLOWMIND_A3_HOSTING_INTERFACE_CONTRACT_v1.md,False,2723,1415,.md,public_facing_docs,public_facing_docs/02_PUBLIC_FACING_FLOWMIND_A3_HOSTING_INTERFACE_CONTRACT_v1.md
specs,True,0,0,,specs,specs
specs/.DS_Store,False,6148,272,,specs,specs/.DS_Store
specs/00_MANIFEST.md,False,1989,945,.md,specs,specs/00_MANIFEST.md
specs/01_REQUIREMENTS_LEDGER.md,False,11946,4695,.md,specs,specs/01_REQUIREMENTS_LEDGER.md
specs/02_OWNERSHIP_MAP.md,False,1771,896,.md,specs,specs/02_OWNERSHIP_MAP.md
specs/03_B_KERNEL_SPEC.md,False,5753,2691,.md,specs,specs/03_B_KERNEL_SPEC.md
specs/04_A0_COMPILER_SPEC.md,False,6938,3027,.md,specs,specs/04_A0_COMPILER_SPEC.md
specs/05_A1_STRATEGY_AND_REPAIR_SPEC.md,False,7478,3530,.md,specs,specs/05_A1_STRATEGY_AND_REPAIR_SPEC.md
specs/06_SIM_EVIDENCE_AND_TIERS_SPEC.md,False,3450,1694,.md,specs,specs/06_SIM_EVIDENCE_AND_TIERS_SPEC.md
specs/07_A2_OPERATIONS_SPEC.md,False,4480,1984,.md,specs,specs/07_A2_OPERATIONS_SPEC.md
specs/08_PIPELINE_AND_STATE_FLOW_SPEC.md,False,2649,1464,.md,specs,specs/08_PIPELINE_AND_STATE_FLOW_SPEC.md
specs/09_CONFORMANCE_AND_REDUNDANCY_GATES.md,False,2437,1186,.md,specs,specs/09_CONFORMANCE_AND_REDUNDANCY_GATES.md
specs/10_INITIAL_AUDIT_REPORT.md,False,2659,1134,.md,specs,specs/10_INITIAL_AUDIT_REPORT.md
specs/11_MIGRATION_HANDOFF_SPEC.md,False,1278,686,.md,specs,specs/11_MIGRATION_HANDOFF_SPEC.md
specs/12_BOOTPACK_SYNC_AUDIT_SPEC.md,False,1188,681,.md,specs,specs/12_BOOTPACK_SYNC_AUDIT_SPEC.md
specs/13_CONTENT_REDUNDANCY_LINT_SPEC.md,False,871,495,.md,specs,specs/13_CONTENT_REDUNDANCY_LINT_SPEC.md
specs/14_A_THREAD_BOOTPACK_PROJECTION.md,False,2834,1454,.md,specs,specs/14_A_THREAD_BOOTPACK_PROJECTION.md
specs/15_ROSETTA_AND_MINING_ARTIFACTS.md,False,3888,1635,.md,specs,specs/15_ROSETTA_AND_MINING_ARTIFACTS.md
specs/16_ZIP_SAVE_AND_TAPES_SPEC.md,False,4540,2061,.md,specs,specs/16_ZIP_SAVE_AND_TAPES_SPEC.md
specs/17_BOOTPACK_THREAD_B_v3.9.13_ENFORCEABLE_CONTRACT_EXTRACT_FOR_IMPLEMENTATION_v1.md,False,20098,6701,.md,specs,specs/17_BOOTPACK_THREAD_B_v3.9.13_ENFORCEABLE_CONTRACT_EXTRACT_FOR_IMPLEMENTATION_v1.md
specs/18_A1_WIGGLE_EXECUTION_CONTRACT.md,False,5152,2227,.md,specs,specs/18_A1_WIGGLE_EXECUTION_CONTRACT.md
specs/19_A2_PERSISTENT_BRAIN_AND_CONTEXT_SEAL_CONTRACT.md,False,5129,2109,.md,specs,specs/19_A2_PERSISTENT_BRAIN_AND_CONTEXT_SEAL_CONTRACT.md
specs/20_CONTROLLED_TUNING_AND_UPGRADE_CONTRACT.md,False,4005,1807,.md,specs,specs/20_CONTROLLED_TUNING_AND_UPGRADE_CONTRACT.md
specs/21_IMPLEMENTATION_BUILD_SEQUENCE_AND_ACCEPTANCE_MATRIX.md,False,4584,1978,.md,specs,specs/21_IMPLEMENTATION_BUILD_SEQUENCE_AND_ACCEPTANCE_MATRIX.md
specs/22_RUN_SURFACE_TEMPLATE_AND_SCAFFOLDER_CONTRACT.md,False,8250,2538,.md,specs,specs/22_RUN_SURFACE_TEMPLATE_AND_SCAFFOLDER_CONTRACT.md
specs/23_BOOTPACK_CONFORMANCE_FIXTURE_MATRIX_CONTRACT.md,False,3254,1475,.md,specs,specs/23_BOOTPACK_CONFORMANCE_FIXTURE_MATRIX_CONTRACT.md
specs/_normative_hash_baseline.json,False,120,106,.json,specs,specs/_normative_hash_baseline.json
specs/reports,True,0,0,,specs,specs/reports
specs/reports/authority_extract_report.json,False,2656,623,.json,specs,specs/reports
specs/reports/authority_gap_report.json,False,2645,623,.json,specs,specs/reports
specs/reports/bootpack_sync_report.json,False,856,504,.json,specs,specs/reports
specs/reports/content_redundancy_report.json,False,3703,722,.json,specs,specs/reports
specs/reports/legacy_extract_report.json,False,99518,19019,.json,specs,specs/reports
specs/reports/migration_inventory.json,False,4394,653,.json,specs,specs/reports
specs/reports/migration_mapping.json,False,6423,910,.json,specs,specs/reports
specs/reports/migration_promotion_report.json,False,213,141,.json,specs,specs/reports
specs/reports/migration_unknowns.json,False,3,5,.json,specs,specs/reports
specs/reports/normative_hash_report.json,False,319,231,.json,specs,specs/reports
specs/reports/orphan_requirements_report.json,False,32,30,.json,specs,specs/reports
specs/reports/owner_collision_report.json,False,32,30,.json,specs,specs/reports
specs/reports/redundancy_report.json,False,182,85,.json,specs,specs/reports
tools,True,0,0,,tools,tools
tools/.DS_Store,False,6148,270,,tools,tools/.DS_Store
tools/__pycache__,True,0,0,,tools,tools/__pycache__
tools/__pycache__/advance_phase_gate.cpython-313.pyc,False,10003,5126,.pyc,tools,tools/__pycache__
tools/__pycache__/bootpack_sync_audit.cpython-313.pyc,False,6832,3725,.pyc,tools,tools/__pycache__
tools/__pycache__/init_run_surface.cpython-313.pyc,False,7137,3671,.pyc,tools,tools/__pycache__
tools/__pycache__/run_a0_compile_gate.cpython-313.pyc,False,7211,3922,.pyc,tools,tools/__pycache__
tools/__pycache__/run_artifact_grammar_gate.cpython-313.pyc,False,4494,2511,.pyc,tools,tools/__pycache__
tools/__pycache__/run_bridge_determinism_pair.cpython-313.pyc,False,9153,4465,.pyc,tools,tools/__pycache__
tools/__pycache__/run_conformance_fixture_matrix.cpython-313.pyc,False,9941,5233,.pyc,tools,tools/__pycache__
tools/__pycache__/run_evidence_ingest_gate.cpython-313.pyc,False,5513,3122,.pyc,tools,tools/__pycache__
tools/__pycache__/run_graveyard_integrity_gate.cpython-313.pyc,False,6133,3440,.pyc,tools,tools/__pycache__
tools/__pycache__/run_long_run_write_guard_gate.cpython-313.pyc,False,6965,3915,.pyc,tools,tools/__pycache__
tools/__pycache__/run_loop_health_diagnostic.cpython-313.pyc,False,5952,3199,.pyc,tools,tools/__pycache__
tools/__pycache__/run_phase_gate_pipeline.cpython-313.pyc,False,7854,3820,.pyc,tools,tools/__pycache__
